           1   0.0000000000000000     
           2   6.6613381477509392E-016
           3   1.0880185641326534E-014
           4   4.7839510131097995E-013
           5   8.1405993057614978E-012
           6   5.0430348785823753E-010
           7   1.6767155330832395E-008
           8   3.6984951523599818E-007
           9   1.4886390883983580E-005
          10   3.6365733837462333E-004
          11   1.5486170795402820E-002
          12   7.4801888500562130E-002
          13   7.5902578966465954     
          14   139.29190615089342     
          15   12.286112447078150     
          16   11.400541742728141     
          17   12.447024967687106     
          18   46.165215435657579     
          19   36.231380453831044     
          20   269.34585332413940     
          21   145.63093616985256     
          22   152.29759108904361     
          23   214.56051691222061     
          24   579.35105198046870     
          25   174.90989423271634     
          26   315.32995722847579     
          27   150.11122768790503     
          28   567.96256859445236     
          29   611.78840086031721     
          30   187.17862932825889     
          31   3058.7093377190645     
          32   43.054537952589044     
          33   1317.0652434924132     
          34   584.40476022684595     
          35   114.23940157049194     
          36   160.14637068340161     
          37   268.32186876242667     
          38   242.15340839558843     
          39   153.08102855196407     
          40   139.61040552734011     
          41   84.745916556545140     
          42   218.55032767123134     
          43   384.05493065169895     
          44   333.65552626428712     
          45   178.21233937669163     
          46   150.01896201496450     
          47   586.96923859270305     
          48   181.88249463970666     
          49   85.443920918797417     
          50   558.11794197470272     
          51   171.01887140969970     
          52   117.18137092075111     
          53   526.83332915148230     
          54   337.14542309027672     
          55   162.27035009747081     
          56   562.69300715350357     
          57   244.07957420139391     
          58   132.79760164488309     
          59   359.93218803534347     
          60   610.22134987961886     
          61   425.14222574163591     
          62   322.44718809419123     
          63   696.21390544810959     
          64   178.65604557390850     
          65   2353.9896667076691     
          66   317.27809413096560     
          67   6099.5965474151171     
          68   1656.7876384805331     
          69   1534.6970472723374     
          70   408.38505729551889     
